# Simulation 13 (Up to date),,,,,,,,,,,,,,,,,,,
# 896 data points written for 4 variables.,,,,,,,,,,,,,,,,,,,
# Simulation warnings:,,,,,,,,,,,,,,,,,,,
#   Recovery device deployment at high speed (24.6 m/s),,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),,,,,,,,,,,,,,,,
# Event IGNITION occurred at t=0 seconds,,,,,,,,,,,,,,,,,,,
# Event LAUNCH occurred at t=0 seconds,,,,,,,,,,,,,,,,,,,
2.1,225.369,220.876,103.932,2711.923912,428.0760879,,,,,,,,,,,,,,
2.15,236.542,226.038,102.985,2840.679484,299.3205156,,,,,,,,,,,,,,
2.2,247.971,231.151,101.953,2971.25259,168.7474097,,,,,,,,,,,,,,
2.25,259.656,236.21,100.842,3103.446219,36.55378084,,,,,,,,,,,,,,
2.3,271.59,241.165,98.727,3235.940521,-95.94052115,,,,,,,,,,,,,,
2.35,283.768,245.954,95.409,3367.018261,-227.0182608,,,,,,,,,,,,,,
2.4,296.182,250.577,92.118,3496.428327,-356.4283267,,,,,,,,,,,,,,
2.45,308.821,254.981,87.702,3622.547318,-482.5473181,,,,,,,,,,,,,,
2.5,321.672,259.077,81.546,3742.716441,-602.7164408,,,,,,,,,,,,,,
2.55,334.721,262.864,75.357,3856.509099,-716.5090987,,,,,,,,,,,,,,
2.6,347.952,266.359,69.526,3964.013003,-824.0130031,,,,,,,,,,,,,,
2.65,361.354,269.713,66.685,4069.055446,-929.0554459,,,,,,,,,,,,,,
2.7,374.921,272.957,64.51,4172.348311,-1032.348311,,,,,,,,,,,,,,
2.75,388.647,276.092,62.327,4273.804618,-1133.804618,,,,,,,,,,,,,,
2.8,402.527,279.118,60.118,4373.314866,-1233.314866,,,,,,,,,,,,,,
2.85,416.556,282.032,57.865,4470.686939,-1330.686939,,,,,,,,,,,,,,
2.9,430.728,284.832,55.587,4565.756961,-1425.756961,,,,,,,,,,,,,,
2.95,445.037,287.518,53.329,4658.421318,-1518.421318,,,,,,,,,,,,,,
3,459.477,290.093,51.1,4748.669082,-1608.669082,,,,,,,,,,,,,,
3.05,474.044,292.556,48.845,4836.379022,-1696.379022,,,,,,,,,,,,,,
3.1,488.731,294.909,46.624,4921.519903,-1781.519903,,,,,,,,,,,,,,
3.15,503.533,297.17,44.786,5004.552822,-1864.552822,,,,,,,,,,,,,,
3.2,518.446,299.34,42.993,5085.440679,-1945.440679,,,,,,,,,,,,,,
3.25,533.465,301.42,41.175,5164.148812,-2024.148812,,,,,,,,,,,,,,
3.3,548.586,303.409,39.299,5240.585046,-2100.585046,,,,,,,,,,,,,,
3.35,563.804,305.308,37.744,5314.72015,-2174.72015,,,,,,,,,,,,,,
3.4,579.115,307.136,36.398,5387.092701,-2247.092701,,,,,,,,,,,,,,
3.45,594.516,308.899,35.06,5457.848936,-2317.848936,,,,,,,,,,,,,,
3.5,610.003,310.594,33.7,5526.854827,-2386.854827,,,,,,,,,,,,,,
3.55,625.574,312.221,32.349,5594.073125,-2454.073125,,,,,,,,,,,,,,
3.6,641.224,313.782,31.061,5659.528971,-2519.528971,,,,,,,,,,,,,,
3.65,656.951,315.295,30.097,5723.767362,-2583.767362,,,,,,,,,,,,,,
3.7,672.753,316.764,29.204,5786.89325,-2646.89325,,,,,,,,,,,,,,
3.75,688.626,318.189,28.349,5848.882867,-2708.882867,,,,,,,,,,,,,,
3.8,704.57,319.571,27.501,5909.749615,-2769.749615,,,,,,,,,,,,,,
3.85,720.582,320.904,26.481,5969.276048,-2829.276048,,,,,,,,,,,,,,
3.9,736.655,322.004,21.865,6021.393839,-2881.393839,,,,,,,,,,,,,,
3.95,752.771,322.612,12.102,6057.485707,-2917.485707,,,,,,,,,,,,,,
